name,infolink
Aachener Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/178/
Ackerstr.,https://www.kvb.koeln/haltestellen/overview/932/
Adolf-Menzel-Str.,https://www.kvb.koeln/haltestellen/overview/119/
Adrian-Meller-Str.,https://www.kvb.koeln/haltestellen/overview/232/
Aeltgen-Dünwald-Str.,https://www.kvb.koeln/haltestellen/overview/630/
Akazienweg,https://www.kvb.koeln/haltestellen/overview/264/
Albin-Köbis-Str.,https://www.kvb.koeln/haltestellen/overview/453/
Alfred-Schütte-Allee,https://www.kvb.koeln/haltestellen/overview/441/
Alfter / Alanus Hochschule,https://www.kvb.koeln/haltestellen/overview/681/
Alte Forststr.,https://www.kvb.koeln/haltestellen/overview/560/
Alte Römerstr.,https://www.kvb.koeln/haltestellen/overview/424/
Alte Str.,https://www.kvb.koeln/haltestellen/overview/982/
Alter Deutzer Postweg,https://www.kvb.koeln/haltestellen/overview/263/
Alter Flughafen Butzweilerhof,https://www.kvb.koeln/haltestellen/overview/274/
Alter Militärring,https://www.kvb.koeln/haltestellen/overview/186/
Altonaer Platz,https://www.kvb.koeln/haltestellen/overview/363/
Alzeyer Str.,https://www.kvb.koeln/haltestellen/overview/331/
Am Alten Güterbahnhof,https://www.kvb.koeln/haltestellen/overview/643/
Am Bilderstöckchen,https://www.kvb.koeln/haltestellen/overview/332/
Am Braunsacker,https://www.kvb.koeln/haltestellen/overview/775/
Am Coloneum,https://www.kvb.koeln/haltestellen/overview/899/
Am Eifeltor,https://www.kvb.koeln/haltestellen/overview/930/
Am Emberg,https://www.kvb.koeln/haltestellen/overview/607/
Am Faulbach,https://www.kvb.koeln/haltestellen/overview/636/
Am Feldrain,https://www.kvb.koeln/haltestellen/overview/649/
Am Flachsrosterweg,https://www.kvb.koeln/haltestellen/overview/942/
Am Grauen Stein,https://www.kvb.koeln/haltestellen/overview/527/
Am Hetzepetsch,https://www.kvb.koeln/haltestellen/overview/387/
Am Hochkreuz,https://www.kvb.koeln/haltestellen/overview/898/
Am Kreuzweg,https://www.kvb.koeln/haltestellen/overview/7206/
Am Kölnberg,https://www.kvb.koeln/haltestellen/overview/85/
Am Leinacker,https://www.kvb.koeln/haltestellen/overview/877/
Am Lindenweg,https://www.kvb.koeln/haltestellen/overview/191/
Am Neuen Forst,https://www.kvb.koeln/haltestellen/overview/123/
Am Nordpark,https://www.kvb.koeln/haltestellen/overview/841/
Am Portzenacker,https://www.kvb.koeln/haltestellen/overview/619/
Am Schildchen,https://www.kvb.koeln/haltestellen/overview/787/
Am Serviesberg,https://www.kvb.koeln/haltestellen/overview/852/
Am Springborn,https://www.kvb.koeln/haltestellen/overview/611/
Am Steinneuerhof,https://www.kvb.koeln/haltestellen/overview/101/
Am Vorgebirgstor,https://www.kvb.koeln/haltestellen/overview/874/
Am Weißen Mönch,https://www.kvb.koeln/haltestellen/overview/627/
Am Zehnthof,https://www.kvb.koeln/haltestellen/overview/705/
Amsterdamer Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/317/
An den Kaulen,https://www.kvb.koeln/haltestellen/overview/431/
An der Ronne,https://www.kvb.koeln/haltestellen/overview/216/
An St. Marien,https://www.kvb.koeln/haltestellen/overview/487/
Anemonenweg,https://www.kvb.koeln/haltestellen/overview/603/
Antoniusstr.,https://www.kvb.koeln/haltestellen/overview/474/
Appellhofplatz,https://www.kvb.koeln/haltestellen/overview/7/
Arenzhof,https://www.kvb.koeln/haltestellen/overview/810/
Arnoldshöhe,https://www.kvb.koeln/haltestellen/overview/84/
Arnulfstr.,https://www.kvb.koeln/haltestellen/overview/151/
Arthur-Hantzsch-Str.,https://www.kvb.koeln/haltestellen/overview/812/
Auenweg,https://www.kvb.koeln/haltestellen/overview/959/
Auf dem Berlich,https://www.kvb.koeln/haltestellen/overview/971/
Auf dem Streitacker,https://www.kvb.koeln/haltestellen/overview/832/
Auf den Steinen,https://www.kvb.koeln/haltestellen/overview/963/
Auf der Aue,https://www.kvb.koeln/haltestellen/overview/624/
Auf der Freiheit,https://www.kvb.koeln/haltestellen/overview/754/
August-Horch-Str.,https://www.kvb.koeln/haltestellen/overview/788/
Auguste-Kowalski-Str.,https://www.kvb.koeln/haltestellen/overview/566/
Autobahn (Stadtbahn),https://www.kvb.koeln/haltestellen/overview/534/
Auweiler,https://www.kvb.koeln/haltestellen/overview/374/
Auweilerweg,https://www.kvb.koeln/haltestellen/overview/297/
Bachemer Str.,https://www.kvb.koeln/haltestellen/overview/866/
Bachstelzenweg,https://www.kvb.koeln/haltestellen/overview/287/
Bad Godesberg Bf,https://www.kvb.koeln/haltestellen/overview/161/
Bad Godesberg Stadthalle,https://www.kvb.koeln/haltestellen/overview/371/
Badorf,https://www.kvb.koeln/haltestellen/overview/737/
Bahnstr.,https://www.kvb.koeln/haltestellen/overview/830/
Baldurstr.,https://www.kvb.koeln/haltestellen/overview/561/
Baptiststr.,https://www.kvb.koeln/haltestellen/overview/422/
Barbarastr.,https://www.kvb.koeln/haltestellen/overview/646/
Barbarossaplatz,https://www.kvb.koeln/haltestellen/overview/23/
Baumschulenweg,https://www.kvb.koeln/haltestellen/overview/439/
Bayenthalgürtel,https://www.kvb.koeln/haltestellen/overview/76/
Beethovenstr.,https://www.kvb.koeln/haltestellen/overview/206/
Belvederestr.,https://www.kvb.koeln/haltestellen/overview/910/
Benfleetstr.,https://www.kvb.koeln/haltestellen/overview/967/
Bensberg,https://www.kvb.koeln/haltestellen/overview/665/
